sepal_length,sepal_width,petal_length,petal_width,species
6.0,3.4,4.5,1.6,versicolor
6.7,3.1,4.7,1.5,versicolor
6.3,2.3,4.4,1.3,versicolor
5.6,3.0,4.1,1.3,versicolor
5.5,2.5,4.0,1.3,versicolor
5.5,2.6,4.4,1.2,versicolor
6.1,3.0,4.6,1.4,versicolor
5.8,2.6,4.0,1.2,versicolor
5.0,2.3,3.3,1.0,versicolor
5.6,2.7,4.2,1.3,versicolor
5.7,3.0,4.2,1.2,versicolor
5.7,2.9,4.2,1.3,versicolor
6.2,2.9,4.3,1.3,versicolor
5.1,2.5,3.0,1.1,versicolor
5.7,2.8,4.1,1.3,versicolor
6.3,3.3,6.0,2.5,virginica
5.8,2.7,5.1,1.9,virginica
7.1,3.0,5.9,2.1,virginica
6.3,2.9,5.6,1.8,virginica
6.5,3.0,5.8,2.2,virginica
7.6,3.0,6.6,2.1,virginica
4.9,2.5,4.5,1.7,virginica
7.3,2.9,6.3,1.8,virginica
6.7,2.5,5.8,1.8,virginica
7.2,3.6,6.1,2.5,virginica
6.5,3.2,5.1,2.0,virginica
6.4,2.7,5.3,1.9,virginica
6.8,3.0,5.5,2.1,virginica
5.7,2.5,5.0,2.0,virginica
5.8,2.8,5.1,2.4,virginica
6.4,3.2,5.3,2.3,virginica
6.5,3.0,5.5,1.8,virginica
7.7,3.8,6.7,2.2,virginica
7.7,2.6,6.9,2.3,virginica
6.0,2.2,5.0,1.5,virginica
6.9,3.2,5.7,2.3,virginica
5.6,2.8,4.9,2.0,virginica
7.7,2.8,6.7,2.0,virginica
6.3,2.7,4.9,1.8,virginica
6.7,3.3,5.7,2.1,virginica
7.2,3.2,6.0,1.8,virginica
6.2,2.8,4.8,1.8,virginica
6.1,3.0,4.9,1.8,virginica
6.4,2.8,5.6,2.1,virginica
7.2,3.0,5.8,1.6,virginica
7.4,2.8,6.1,1.9,virginica
7.9,3.8,6.4,2.0,virginica
6.4,2.8,5.6,2.2,virginica
6.3,2.8,5.1,1.5,virginica
6.1,2.6,5.6,1.4,virginica
7.7,3.0,6.1,2.3,virginica
6.3,3.4,5.6,2.4,virginica
6.4,3.1,5.5,1.8,virginica
6.0,3.0,4.8,1.8,virginica
6.9,3.1,5.4,2.1,virginica
6.7,3.1,5.6,2.4,virginica
6.9,3.1,5.1,2.3,virginica
5.8,2.7,5.1,1.9,virginica
6.8,3.2,5.9,2.3,virginica
6.7,3.3,5.7,2.5,virginica
6.7,3.0,5.2,2.3,virginica
6.3,2.5,5.0,1.9,virginica
6.5,3.0,5.2,2.0,virginica
6.2,3.4,5.4,2.3,virginica
5.9,3.0,5.1,1.8,virginica
5.209680154043165,3.609132754697713,1.2044103816289689,0.3675168176051651,setosa
5.142184421820912,2.981596198467575,1.809758913749645,0.10956581674497591,setosa
4.592907830744036,3.3667566089422385,1.5890341365875225,0.27237255760691537,setosa
4.767962170913349,3.3053361146274134,1.5028443893380423,-0.06820553780252481,setosa
4.987140204155568,3.375415564562297,1.4985513285598984,0.08879911860177847,setosa
5.516435871104246,4.066323381524044,1.80147925575138,0.10799825295698207,setosa
4.704570373325084,3.250187940880578,1.2831599047630524,0.31409211644976304,setosa
5.358358087068695,3.299246710181652,1.2095840235571653,0.20914426217701534,setosa
4.4969677633397325,3.3852393208623766,1.5995592308649353,0.0809751347204728,setosa
5.093284782534471,3.2069612795653293,1.5045568721103781,0.38790522333838273,setosa
4.992372604861623,3.7608931397755048,1.7421455084896154,-0.15570856148255957,setosa
4.3405362397271015,3.1151159271339486,2.0470255253618985,0.30891281824806127,setosa
4.922413995826021,3.309912500042622,1.6135542412544917,0.4732584316968892,setosa
4.085937842250702,3.2798107817923188,1.2338355109554593,0.13288742731674402,setosa
5.858424992960703,4.350930813455527,1.0196768016258202,0.2890346239420918,setosa
5.3054244615915245,4.599375160988048,1.8437695559063798,0.23466056572128788,setosa
5.026420722315766,3.9501213217837323,1.3566482221769693,0.3757745777666929,setosa
5.184164637379175,4.09910481973252,1.5705367799511576,0.37107458413822786,setosa
5.388007770357729,3.8396651310571146,1.7904969931877233,0.33823534462286015,setosa
5.197285681799724,3.702372650694235,1.5783176991609487,0.5146306074690701,setosa
5.3077451939584765,3.2364176983764428,1.538273680856637,-0.003188398474585463,setosa
5.466564298183767,3.8040900002153473,1.4634500040814504,0.2139883691966431,setosa
4.8328184680245805,3.802651680264369,0.7472014328312652,0.15442660820088722,setosa
4.928061023098431,3.117821654834626,1.5978641332560992,0.6146603356286413,setosa
4.765519319504826,3.479234451989157,1.999352230824473,0.25439356721148704,setosa
4.884747116340479,3.2182966078738704,1.6179347793041152,0.26428286654132593,setosa
4.823666085321456,3.421826749412086,1.4692610555682533,0.1797443592690248,setosa
5.254687888861885,3.779709649284514,1.6670061285785003,0.2371499978548815,setosa
5.17270936976339,3.5931548354111884,1.4565282139794775,0.11323660643941479,setosa
4.878876733003789,3.261461906099804,1.5640894218395753,0.3694685651316723,setosa
4.762627515456377,3.500341916487968,1.459147555932728,0.3157761936232734,setosa
5.522505213159952,3.716470686297847,1.3105375718298216,0.5974538229240376,setosa
5.0746350309333605,3.958197735079613,1.5090783341153688,-0.3713441858229629,setosa
5.787641220458576,3.840666378325459,1.0483515503385892,0.663070079528399,setosa
4.818535070349106,3.092117983778667,1.4919380181321846,-0.3069098706109501,setosa
5.20831715299717,3.212214562636992,1.224379551713006,0.2542281133553056,setosa
5.391405423387483,3.50753227619663,1.0922200273842642,-0.021968264168862606,setosa
4.679881933277191,2.988059603842254,1.4858760137361262,0.3194210622317444,setosa
4.4586104255159436,2.9201584329291217,1.1640815401099958,0.3531640339655713,setosa
5.2661974829991305,3.6263521860607324,1.2716364687908133,0.6401274052997056,setosa
5.0870934284057645,3.6301464888762136,1.1604993384834748,0.3479277032827692,setosa
4.966682329308492,2.16125188574982,1.2149551379266408,0.4521187450674614,setosa
4.549685443901314,3.4294774730398223,1.1860526216870524,-0.012301696315522914,setosa
5.104569399962948,3.0873721681622435,1.4207411856592986,0.45489969894992727,setosa
5.093495007875234,3.743923670009848,1.5446872267860152,0.2265187266474147,setosa
4.958496771952056,3.0031768458264434,1.7494813789325931,0.251242621929763,setosa
5.402897235609888,3.8338167540135832,1.4316587271559957,-0.11447479684011286,setosa
4.5821207808587445,3.440580341139001,1.2709672002538732,0.23516120749241612,setosa
5.002255954966549,3.862760718731655,1.2269118575693052,-0.36556941379694213,setosa
4.939661412395308,3.4578387607256715,0.9931626380896721,0.274045802616346,setosa
6.776776962710771,3.3485286860571883,4.997377991172803,1.506862098173393,versicolor
6.447004581996145,3.509371657140269,4.536944861743759,1.4668369586181074,versicolor
6.68770683532585,2.9758658852570044,4.718857456799294,1.2870962421312886,versicolor
5.421504870386443,2.2331736440307672,3.876841541053053,1.358645314409971,versicolor
6.2682919833662485,2.6618233894983248,4.55284308113852,1.6077111285855321,versicolor
6.130621848369804,2.72543136701409,4.609235707828485,1.1792552538655856,versicolor
6.146288445225836,3.1159296048503498,4.349242594348285,1.94412926321473,versicolor
5.0236168686111835,2.2374100528278573,2.785037651896052,1.0490753237815706,versicolor
6.714316120383945,2.882038574055605,4.899265754545052,1.5029468921283757,versicolor
5.1039366513375,2.4736830062640593,3.8612500173570807,1.2492738028782715,versicolor
5.067471248173715,2.489630069913137,3.9221116809709065,0.9747299548131675,versicolor
6.094214488567925,3.1939452423928953,4.399447584440453,1.340255097581299,versicolor
6.3028575557612365,2.5443218597935156,4.340089468880936,1.1216360274507948,versicolor
5.944084740903629,2.7672728915324116,5.127010170979451,1.4117409695164644,versicolor
5.493480830992427,2.849852794016425,3.788637455578616,1.5881016303482225,versicolor
6.328512978777128,3.4479645317071794,4.091857800979385,1.4885390066350608,versicolor
5.64002319258433,3.0339539333279597,4.245406323916893,1.687960894165097,versicolor
5.67960502518131,2.7183914031187655,3.7128900858968974,0.973179432311856,versicolor
6.029203583019372,2.203444555101044,4.673998560448192,1.6365565549731838,versicolor
5.597493786550892,2.5467661899396505,3.883451591333565,0.9690319717534729,versicolor
5.514139383257951,2.836697140642757,4.785198324398477,1.9114719903988635,versicolor
6.15161092002864,3.008063687444561,3.652959249660408,1.4233653162159166,versicolor
6.283745037642887,2.323720478904073,5.018257823367631,1.8450165129647162,versicolor
6.124975461335095,2.645625484262997,4.575343840457885,1.174540806147199,versicolor
6.503592526460466,3.0685448729051026,4.4090512243373965,1.1915771134456912,versicolor
6.550706730037821,2.842055131495359,4.403330206468378,1.4377252791401545,versicolor
6.91683117682572,2.9095492906411167,4.646624403619291,1.3816379040306312,versicolor
6.647220678489755,2.9889144286023157,4.895377329787128,1.7834397778583444,versicolor
5.978163335094196,2.9406116371543636,4.319384056271016,1.50644057880681,versicolor
6.06405986437429,2.9427213637929537,3.547719961264072,0.9770776355393425,versicolor
5.580735546554168,2.357465054839048,3.7034327012295787,1.194787939934706,versicolor
5.628069799537756,2.1816573494500138,3.6042511252549456,0.895852083594621,versicolor
5.842619097918501,2.3351785041304645,3.728197717813972,1.0419273911729163,versicolor
6.062722918578513,2.577065216859149,5.0688686832600185,1.720466111768779,versicolor
4.9815395058282315,2.8784117314840607,4.557679454194935,1.7759794682086407,versicolor
5.891560026555893,3.459326629627169,4.587697882191928,1.871573682908445,versicolor
6.5770919746044205,3.4602032120662685,4.905834336734714,1.4478533204813733,versicolor
6.213465354219453,2.0450916351473203,4.348022985962591,1.49944496082947,versicolor
5.413254912595209,2.9986428928303055,4.206555902664604,1.2733650613019531,versicolor
5.702161921232684,2.113266915729705,4.124590313706193,1.0171940018821701,versicolor
5.532616958684955,2.71189707668702,4.562294561317552,1.1383702332406418,versicolor
6.087739913109556,3.018276379166563,4.457179984494592,1.4392610211741852,versicolor
5.811126612159576,2.4485925091042837,3.7915343473287995,1.001452549008295,versicolor
5.064163450523075,2.8896362333286123,3.3862964810889338,1.2406681044520724,versicolor
5.369411708580756,2.6683988323688417,4.378195660595972,1.6516234474026916,versicolor
5.975319010429578,2.9846333386332424,4.114155968618807,1.056300583367183,versicolor
5.715855580897644,3.025706074181713,3.9715510923437938,0.979530458051399,versicolor
6.179386569446992,3.1924397706273084,4.385764990694998,1.378726659026557,versicolor
5.082228127875606,2.416599202220595,2.9223474025128513,0.9720468476211802,versicolor
5.356737175618613,3.0957013189090543,4.370004174313854,1.382578556379079,versicolor
6.599148282727607,3.5163074653495814,5.988350233695457,2.267567679252045,virginica
5.840756900239438,2.9193671146614513,4.967782460560487,1.7813480552310959,virginica
7.189789252357813,3.035501641233783,6.029758959429214,2.1375904786600666,virginica
5.929261970810039,2.886454841555895,5.589073184083548,2.0513903475472595,virginica
6.674041369173378,2.8095486312975564,5.8343568977383615,2.4460408742488218,virginica
7.268497384700501,2.965872764751765,6.691306783645938,2.2070782641612676,virginica
4.890404520871456,2.6209536809674425,4.714818321413485,1.246431640018015,virginica
7.180060438788241,3.161756050313083,6.30652839157999,1.779479053807829,virginica
6.5818023552251965,2.693994702489591,6.302255061901724,2.182143389803194,virginica
7.01065390660503,3.838565128195204,6.056184950042877,2.1634516334526754,virginica
6.524995715420211,3.1308703584842568,5.189171892091233,2.0748394764114173,virginica
6.262348362030879,2.510981065744721,5.6014853118418975,1.8532457043112853,virginica
6.56789811801156,3.0931582181378583,5.546958859131535,2.044455415001378,virginica
5.677083349239972,2.806615379679729,5.093509972688236,2.035454388840939,virginica
5.711310217566492,3.109284518725461,4.846824121619345,2.142299660324203,virginica
6.973581216626132,2.996068893112441,5.43485646564298,2.144482776046984,virginica
6.346085248073381,2.9930565680709256,5.218076249992499,1.7079332396081701,virginica
7.70052809252764,3.6142423440872076,6.870104419679817,2.0788344575668254,virginica
7.73519084656415,2.714732924476784,6.619612077512361,2.233972693922804,virginica
5.6370171126385795,2.3328503527425073,4.968218818270455,1.3125646118857306,virginica
6.991605059736143,3.385246197622293,5.879521915709472,2.5315261682856014,virginica
5.461506007832843,2.815597511644055,4.641797892720835,2.0301274932983815,virginica
7.412918577952664,2.994938469809037,6.647247398348445,1.8528660648196622,virginica
6.066536365007033,2.447322321476034,4.926979313073765,1.855388591139648,virginica
6.800919198986049,3.5287986367690474,5.577522906833629,2.18134174498231,virginica
6.905095766845877,3.6250136286523063,5.6354292960517585,1.9840472380543106,virginica
6.0020220703714555,2.5155711212890113,4.806574411905807,1.6220662907743144,virginica
6.237451600342749,2.9842835480112333,5.008697904854841,1.8166512952524188,virginica
6.580448231769259,2.610481920157114,5.7897008812751345,2.0495180972085234,virginica
7.202920844708026,3.1343929660053784,5.908497309037019,1.7676243922098678,virginica
7.746091037210934,2.842457633518059,6.057850574967782,1.9245934287988833,virginica
8.144762508872077,3.6804869183650673,6.1749804142998315,1.8617945056674703,virginica
6.71740289260494,2.6003739558100687,5.727884499481096,2.619143623803675,virginica
6.165849299632712,3.092096430175528,5.048469331442908,1.6273059542659898,virginica
6.102200327887326,2.3474375792937674,5.454532387875388,1.4215053267361528,virginica
7.73323143489618,2.795545064915791,6.202511235177713,2.541486875073828,virginica
6.33561422474289,3.3230264487386707,5.894630275565281,2.3761868620485593,virginica
6.245485950535207,3.2147536780200703,5.572701023070356,1.6551126665703746,virginica
6.234569617276548,2.9642441269085213,4.436058607319014,2.0268530847203863,virginica
7.001762983671796,3.0026976591169534,5.088197118469073,2.363335466250061,virginica
6.778696654468442,2.6980900811377837,5.396353898648811,2.5532952993664537,virginica
6.893913546595317,3.3896501678916575,5.0091780910553165,2.389864641219689,virginica
5.7678671865651125,2.7056460062834007,4.8525046715934135,2.040543238242157,virginica
6.452305153189606,3.27987098564772,5.895300911146865,2.420569746161332,virginica
6.886518930672223,3.6488579215919277,5.931820842343637,2.262817036627654,virginica
6.7383673371216934,2.8848465378942416,5.113566611298462,2.1722136416817586,virginica
5.995561877500144,2.3174790052859517,5.028524403098315,2.238683211364359,virginica
6.190019252718587,2.776090910843458,5.122435538875504,1.8088021519260014,virginica
5.930308696589583,3.331644713486661,5.503341301075499,2.4522328538079945,virginica
5.798988968409421,2.7187718875202442,5.144298775570892,2.0923147052203315,virginica
